season,team,name,location,conference,wins,losses,ties,pct,pf,pa,diff,home_w,home_l,away_w,away_l,conf_w,conf_l,playoff_result
1,YKW,Wraiths,Yellowknife,NSFC,8,6,0,0.571,256,225,31,6,1,2,5,4,4,semifinal
1,SJS,Sabercats,San Jose,ASFC,4,10,0,0.286,213,291,-78,3,4,1,6,1,7,missed
1,COL,Yeti,Colorado,NSFC,8,6,0,0.571,250,253,-3,5,2,3,4,6,2,runner_up
1,BAL,Hawks,Baltimore,NSFC,4,10,0,0.286,254,330,-76,2,5,2,5,2,6,missed
1,OCO,Otters,Orange County,ASFC,9,5,0,0.643,249,196,53,6,1,3,4,5,3,semifinal
1,AZ,Outlaws,Arizona,ASFC,9,5,0,0.643,277,204,73,6,1,3,4,6,2,champion
2,YKW,Wraiths,Yellowknife,NSFC,8,6,0,0.571,300,295,5,6,1,2,5,3,3,semifinal
2,COL,Yeti,Colorado,NSFC,8,6,0,0.571,268,216,52,6,1,2,5,3,3,missed
2,AZ,Outlaws,Arizona,ASFC,12,2,0,0.857,369,175,194,7,0,5,2,6,0,champion
2,OCO,Otters,Orange County,ASFC,8,6,0,0.571,271,219,52,6,1,2,5,3,3,semifinal
2,SJS,Sabercats,San Jose,ASFC,4,10,0,0.286,233,374,-141,3,4,1,6,2,4,missed
2,PHI,Liberty,Philadelphia,NSFC,5,9,0,0.357,245,281,-36,4,3,1,6,2,4,missed
2,LVL,Legion,Las Vegas,ASFC,3,11,0,0.214,211,335,-124,1,6,2,5,1,5,missed
2,BAL,Hawks,Baltimore,NSFC,8,6,0,0.571,268,270,-2,7,0,1,6,4,2,runner_up
3,BAL,Hawks,Baltimore,NSFC,9,5,0,0.643,317,270,47,5,2,4,3,4,2,runner_up
3,YKW,Wraiths,Yellowknife,NSFC,7,7,0,0.5,332,275,57,5,2,2,5,3,3,missed
3,COL,Yeti,Colorado,NSFC,3,11,0,0.214,182,372,-190,3,4,0,7,1,5,missed
3,LVL,Legion,Las Vegas,ASFC,2,12,0,0.143,199,444,-245,1,6,1,6,1,5,missed
3,AZ,Outlaws,Arizona,ASFC,13,1,0,0.929,427,166,261,6,1,7,0,6,0,champion
3,SJS,Sabercats,San Jose,ASFC,5,8,1,0.393,292,338,-46,3,3,2,5,2,4,missed
3,OCO,Otters,Orange County,ASFC,8,6,0,0.571,406,288,118,5,2,3,4,3,3,semifinal
3,PHI,Liberty,Philadelphia,NSFC,8,5,1,0.607,326,328,-2,6,1,2,4,4,2,semifinal
4,OCO,Otters,Orange County,ASFC,9,5,0,0.643,421,238,183,5,2,4,3,3,3,champion
4,AZ,Outlaws,Arizona,ASFC,12,2,0,0.857,435,203,232,7,0,5,2,6,0,semifinal
4,SJS,Sabercats,San Jose,ASFC,9,5,0,0.643,373,264,109,5,2,4,3,3,3,missed
4,COL,Yeti,Colorado,NSFC,1,13,0,0.071,175,482,-307,1,6,0,7,1,5,missed
4,BAL,Hawks,Baltimore,NSFC,7,7,0,0.5,315,324,-9,5,2,2,5,2,4,missed
4,YKW,Wraiths,Yellowknife,NSFC,8,6,0,0.571,361,279,82,5,2,3,4,3,3,runner_up
4,PHI,Liberty,Philadelphia,NSFC,7,7,0,0.5,265,350,-85,4,3,3,4,6,0,semifinal
4,LVL,Legion,Las Vegas,ASFC,3,11,0,0.214,234,439,-205,2,5,1,6,0,6,missed
5,AZ,Outlaws,Arizona,ASFC,8,6,0,0.571,436,431,5,5,2,3,4,4,2,semifinal
5,COL,Yeti,Colorado,NSFC,2,12,0,0.143,180,407,-227,1,6,1,6,0,6,missed
5,SJS,Sabercats,San Jose,ASFC,8,6,0,0.571,343,374,-31,5,2,3,4,2,4,missed
5,OCO,Otters,Orange County,ASFC,11,3,0,0.786,421,265,156,7,0,4,3,5,1,champion
5,LVL,Legion,Las Vegas,ASFC,1,13,0,0.071,296,453,-157,1,6,0,7,1,5,missed
5,PHI,Liberty,Philadelphia,NSFC,8,6,0,0.571,405,339,66,6,1,2,5,3,3,missed
5,YKW,Wraiths,Yellowknife,NSFC,10,4,0,0.714,433,310,123,6,1,4,3,5,1,runner_up
5,BAL,Hawks,Baltimore,NSFC,8,6,0,0.571,405,340,65,5,2,3,4,4,2,semifinal
6,NOLA,Second Line,New Orleans,ASFC,2,11,1,0.179,239,377,-138,1,5,1,6,0,6,missed
6,OCO,Otters,Orange County,ASFC,11,3,0,0.786,471,254,217,5,2,6,1,6,0,champion
6,COL,Yeti,Colorado,NSFC,0,14,0,0.0,197,541,-344,0,7,0,7,0,6,missed
6,BAL,Hawks,Baltimore,NSFC,7,7,0,0.5,397,351,46,4,3,3,4,3,3,missed
6,YKW,Wraiths,Yellowknife,NSFC,7,6,1,0.536,385,339,46,4,3,3,3,4,2,semifinal
6,PHI,Liberty,Philadelphia,NSFC,9,5,0,0.643,440,313,127,6,1,3,4,5,1,runner_up
6,AZ,Outlaws,Arizona,ASFC,8,6,0,0.571,336,374,-38,5,2,3,4,2,4,missed
6,SJS,Sabercats,San Jose,ASFC,11,3,0,0.786,386,302,84,6,1,5,2,4,2,semifinal
7,COL,Yeti,Colorado,NSFC,0,14,0,0.0,137,501,-364,0,7,0,7,0,6,missed
7,YKW,Wraiths,Yellowknife,NSFC,13,1,0,0.929,468,272,196,7,0,6,1,6,0,semifinal
7,SJS,Sabercats,San Jose,ASFC,5,9,0,0.357,304,380,-76,3,4,2,5,2,4,missed
7,BAL,Hawks,Baltimore,NSFC,7,7,0,0.5,405,333,72,4,3,3,4,3,3,missed
7,PHI,Liberty,Philadelphia,NSFC,10,4,0,0.714,426,303,123,6,1,4,3,3,3,champion
7,OCO,Otters,Orange County,ASFC,12,2,0,0.857,461,274,187,7,0,5,2,6,0,runner_up
7,AZ,Outlaws,Arizona,ASFC,5,9,0,0.357,357,433,-76,3,4,2,5,3,3,semifinal
7,NOLA,Second Line,New Orleans,ASFC,4,10,0,0.286,304,366,-62,3,4,1,6,1,5,missed
8,PHI,Liberty,Philadelphia,NSFC,7,7,0,0.5,387,373,14,5,2,2,5,2,4,missed
8,COL,Yeti,Colorado,NSFC,6,8,0,0.429,240,338,-98,4,3,2,5,2,4,missed
8,NOLA,Second Line,New Orleans,ASFC,9,5,0,0.643,413,303,110,5,2,4,3,5,1,runner_up
8,YKW,Wraiths,Yellowknife,NSFC,11,3,0,0.786,446,286,160,6,1,5,2,6,0,champion
8,BAL,Hawks,Baltimore,NSFC,7,7,0,0.5,403,329,74,4,3,3,4,2,4,semifinal
8,SJS,Sabercats,San Jose,ASFC,1,13,0,0.071,191,553,-362,1,6,0,7,1,5,missed
8,OCO,Otters,Orange County,ASFC,10,4,0,0.714,432,289,143,5,2,5,2,4,2,semifinal
8,AZ,Outlaws,Arizona,ASFC,5,9,0,0.357,338,379,-41,5,2,0,7,2,4,missed
9,BAL,Hawks,Baltimore,NSFC,11,3,0,0.786,473,240,233,6,1,5,2,6,0,runner_up
9,YKW,Wraiths,Yellowknife,NSFC,7,7,0,0.5,380,316,64,3,4,4,3,2,4,missed
9,COL,Yeti,Colorado,NSFC,8,6,0,0.571,333,347,-14,4,3,4,3,3,3,semifinal
9,AZ,Outlaws,Arizona,ASFC,3,11,0,0.214,219,433,-214,1,6,2,5,2,4,missed
9,OCO,Otters,Orange County,ASFC,9,5,0,0.643,445,293,152,6,1,3,4,3,3,semifinal
9,SJS,Sabercats,San Jose,ASFC,2,12,0,0.143,184,475,-291,1,6,1,6,1,5,missed
9,PHI,Liberty,Philadelphia,NSFC,4,10,0,0.286,218,481,-263,2,5,2,5,1,5,missed
9,NOLA,Second Line,New Orleans,ASFC,12,2,0,0.857,530,197,333,6,1,6,1,6,0,champion
10,YKW,Wraiths,Yellowknife,NSFC,8,6,0,0.571,373,319,54,6,1,2,5,3,3,missed
10,BAL,Hawks,Baltimore,NSFC,13,1,0,0.929,486,273,213,7,0,6,1,6,0,champion
10,AZ,Outlaws,Arizona,ASFC,4,10,0,0.286,293,349,-56,3,4,1,6,1,5,missed
10,COL,Yeti,Colorado,NSFC,9,5,0,0.643,403,286,117,5,2,4,3,3,3,semifinal
10,SJS,Sabercats,San Jose,ASFC,4,10,0,0.286,258,447,-189,3,4,1,6,1,5,missed
10,OCO,Otters,Orange County,ASFC,7,7,0,0.5,247,299,-52,4,3,3,4,5,1,semifinal
10,NOLA,Second Line,New Orleans,ASFC,11,3,0,0.786,505,279,226,7,0,4,3,5,1,runner_up
10,PHI,Liberty,Philadelphia,NSFC,0,14,0,0.0,162,475,-313,0,7,0,7,0,6,missed
11,BAL,Hawks,Baltimore,NSFC,9,5,0,0.643,413,336,77,5,2,4,3,4,2,runner_up
11,YKW,Wraiths,Yellowknife,NSFC,4,10,0,0.286,336,413,-77,3,4,1,6,0,6,missed
11,COL,Yeti,Colorado,NSFC,8,6,0,0.571,422,417,5,6,1,2,5,4,2,semifinal
11,AZ,Outlaws,Arizona,ASFC,6,8,0,0.429,376,381,-5,4,3,2,5,3,3,missed
11,OCO,Otters,Orange County,ASFC,10,4,0,0.714,394,331,63,6,1,4,3,4,2,semifinal
11,SJS,Sabercats,San Jose,ASFC,1,13,0,0.071,228,411,-183,0,7,1,6,0,6,missed
11,PHI,Liberty,Philadelphia,NSFC,7,7,0,0.5,309,313,-4,4,3,3,4,4,2,missed
11,NOLA,Second Line,New Orleans,ASFC,11,3,0,0.786,464,340,124,7,0,4,3,5,1,champion
